,title,company,salary,summary
0,Business/Data Analyst (Entry Level),Agama Solutions,$30 an hour,Role: Business/Data Analyst (Entry Level). 1+ Years of IT Experience Strong analytical background and critical thinking.
1,Data Analyst I,"Payspan, Inc",Full-time,"The Data Analyst I, is an entry level position. Work experience as a data analyst or in related field. High-level written and verbal communication skills."
2,Jr. Business Analyst,Kajeet,Full-time,They need to be able to pull relevant data from many disparate sources and create a combined data set that will assist in decision making.
3,Entry Level Business Analyst,Agama Solutions,$30 - $35 an hour,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
4,Data Specialist,YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
5,Business Analyst - Ad Sales Technology,NBCUniversal,,"Self-motivated and accountable, with a high level of commitment to responsibility. The Business Analyst - Ad Sales Technology is responsible for ensuring our Ad…"
6,Business Analyst (Entry Level),Agama Solutions,Contract,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
7,Talent Development Data Analyst,Southern New Hampshire University,Full-time,Lead the descriptive analytics for all Talent Development program data and select other project data; provide diagnostic analyses as needed.
8,Operations Analyst Trainee,Paysafe,Contract,"Experience with internal data systems and programs. Analyze data, generate meaningful insight, and share results. Build relationships across the business."
9,Data Analyst,Roles at YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
10,"Software & Data Licensing Analyst, Remote",Liberty Mutual Insurance,"$90,000 - $115,000 a year","Experience in data and analytics technologies as well as insurance and market data is a plus. Receives, evaluates and responds to data-related inquiries by…"
11,newData Analyst (Regulatory Practice),Ascendient,Full-time,Multitude of data sources and data analysis techniques. Developing and tracking information requests and understanding which data sources and.
12,Data Analyst- Strategy- Data & Analytics- REMOTE USA- EST Bu...,PRA Group,Full-time,"Ability to interpret data, identify trends, and report data findings. Knowledge of data preparation methods: handling of missing data and general imputation."
13,newJunior Purchasing Data Analyst (Remote),Lidl US,Full-time,"This team is responsible for finding the best solutions for the purchasing department to collect, process, and store purchasing data (pricing, competitor, item,…"
14,"Business Analyst (Entry Level) Rotation Program - New York,...",Net at Work,Full-time,This program is an onboarding of 6-8 candidates into 6 business units. These individuals will have a full year of dedicated onboarding which will involve a…
15,Business/Data Analyst (Entry Level),Agama Solutions,$30 an hour,Role: Business/Data Analyst (Entry Level). 1+ Years of IT Experience Strong analytical background and critical thinking.
16,newFinancial Data Analyst (7am CST Shift),Orion Advisor Solutions,Full-time,We are looking for someone wanting an entry level role within the financial industry. Does sifting through financial data and hunting for process efficiencies…
17,Data Analyst I,"Payspan, Inc",Full-time,"The Data Analyst I, is an entry level position. Work experience as a data analyst or in related field. High-level written and verbal communication skills."
18,Talent Development Data Analyst,Southern New Hampshire University,Full-time,Lead the descriptive analytics for all Talent Development program data and select other project data; provide diagnostic analyses as needed.
19,Jr. Business Analyst,Kajeet,Full-time,They need to be able to pull relevant data from many disparate sources and create a combined data set that will assist in decision making.
20,Business Analyst - Ad Sales Technology,NBCUniversal,,"Self-motivated and accountable, with a high level of commitment to responsibility. At NBCUniversal, we believe in the talent of our people."
21,Data Analyst,Roles at YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
22,"newData Solutions Analyst, US Analytics",Liberty Mutual Insurance,"$70,000 - $100,000 a year","Ensures data solutions include deliverables required to achieve high quality data. Designs, develops, and automates data solutions that enables effective self…"
23,"Software & Data Licensing Analyst, Remote",Liberty Mutual Insurance,"$90,000 - $115,000 a year","Experience in data and analytics technologies as well as insurance and market data is a plus. Receives, evaluates and responds to data-related inquiries by…"
24,Data Specialist,YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
25,Operations Analyst Trainee,Paysafe,Contract,"Experience with internal data systems and programs. Analyze data, generate meaningful insight, and share results. Philip McHugh, Chief Executive Officer."
26,Entry Level Business Analyst,Agama Solutions,$30 - $35 an hour,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
27,Data Analyst- Strategy- Data & Analytics- REMOTE USA- EST Bu...,PRA Group,Full-time,"Ability to interpret data, identify trends, and report data findings. Knowledge of data preparation methods: handling of missing data and general imputation."
28,Data Analyst I,Black Knight,Full-time,"Deploy, troubleshoot and resolve data issues, conducting data research and ensure data quality. Has general understanding of principles in data analysis and…"
29,newJunior Purchasing Data Analyst (Remote),Lidl US,Full-time,Lidl US is seeking an entry level Analyst to join our Purchasing Data Projects team. This team is responsible for finding the best solutions for the purchasing…
30,Business/Data Analyst (Entry Level),Agama Solutions,$30 an hour,Role: Business/Data Analyst (Entry Level). 1+ Years of IT Experience Strong analytical background and critical thinking.
31,Data Analyst I,"Payspan, Inc",Full-time,"The Data Analyst I, is an entry level position. Work experience as a data analyst or in related field. High-level written and verbal communication skills."
32,Jr. Business Analyst,Kajeet,Full-time,They need to be able to pull relevant data from many disparate sources and create a combined data set that will assist in decision making.
33,Entry Level Business Analyst,Agama Solutions,$30 - $35 an hour,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
34,Data Specialist,YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
35,Business Analyst - Ad Sales Technology,NBCUniversal,,"Self-motivated and accountable, with a high level of commitment to responsibility. The Business Analyst - Ad Sales Technology is responsible for ensuring our Ad…"
36,Business Analyst (Entry Level),Agama Solutions,Contract,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
37,Talent Development Data Analyst,Southern New Hampshire University,Full-time,Lead the descriptive analytics for all Talent Development program data and select other project data; provide diagnostic analyses as needed.
38,Operations Analyst Trainee,Paysafe,Contract,"Experience with internal data systems and programs. Analyze data, generate meaningful insight, and share results. Build relationships across the business."
39,Data Analyst,Roles at YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
40,"Software & Data Licensing Analyst, Remote",Liberty Mutual Insurance,"$90,000 - $115,000 a year","Experience in data and analytics technologies as well as insurance and market data is a plus. Receives, evaluates and responds to data-related inquiries by…"
41,newData Analyst (Regulatory Practice),Ascendient,Full-time,Multitude of data sources and data analysis techniques. Developing and tracking information requests and understanding which data sources and.
42,Data Analyst- Strategy- Data & Analytics- REMOTE USA- EST Bu...,PRA Group,Full-time,"Ability to interpret data, identify trends, and report data findings. Knowledge of data preparation methods: handling of missing data and general imputation."
43,newJunior Purchasing Data Analyst (Remote),Lidl US,Full-time,"This team is responsible for finding the best solutions for the purchasing department to collect, process, and store purchasing data (pricing, competitor, item,…"
44,"Business Analyst (Entry Level) Rotation Program - New York,...",Net at Work,Full-time,This program is an onboarding of 6-8 candidates into 6 business units. These individuals will have a full year of dedicated onboarding which will involve a…
45,Business/Data Analyst (Entry Level),Agama Solutions,$30 an hour,Role: Business/Data Analyst (Entry Level). 1+ Years of IT Experience Strong analytical background and critical thinking.
46,Entry Level Business Analyst,Agama Solutions,$30 - $35 an hour,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
47,Data Analyst I,"Payspan, Inc",Full-time,"The Data Analyst I, is an entry level position. Work experience as a data analyst or in related field. High-level written and verbal communication skills."
48,Jr. Business Analyst,Kajeet,Full-time,They need to be able to pull relevant data from many disparate sources and create a combined data set that will assist in decision making.
49,Business Analyst (Entry Level),Agama Solutions,Contract,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
50,Data Analyst- Strategy- Data & Analytics- REMOTE USA- EST Bu...,PRA Group,Full-time,"Ability to interpret data, identify trends, and report data findings. Knowledge of data preparation methods: handling of missing data and general imputation."
51,Data Analyst,Roles at YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
52,Talent Development Data Analyst,Southern New Hampshire University,Full-time,Lead the descriptive analytics for all Talent Development program data and select other project data; provide diagnostic analyses as needed.
53,"newData Solutions Analyst, US Analytics",Liberty Mutual Insurance,"$70,000 - $100,000 a year","Ensures data solutions include deliverables required to achieve high quality data. Designs, develops, and automates data solutions that enables effective self…"
54,Data Specialist,YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
55,newFinancial Data Analyst (7am CST Shift),Orion Advisor Solutions,Full-time,(Got to scrub data to clean it up!). Do you have microscopic attention to detail that will ensure timely and accurate reconciliation of data?
56,"newBusiness Analyst Clinical Policy, REMOTE",AmeriHealth Caritas,,"Ability to prioritize, organize and summarize data. Complete branding of clinical policy documentation and update data fields."
57,"Business Analyst (Entry Level) Rotation Program - New York,...",Net at Work,Full-time,This program is an onboarding of 6-8 candidates into 6 business units. These individuals will have a full year of dedicated onboarding which will involve a…
58,newJunior Purchasing Data Analyst (Remote),Lidl US,Full-time,"This team is responsible for finding the best solutions for the purchasing department to collect, process, and store purchasing data (pricing, competitor, item,…"
59,Business Analyst - Ad Sales Technology,NBCUniversal,,"Self-motivated and accountable, with a high level of commitment to responsibility. The Business Analyst - Ad Sales Technology is responsible for ensuring our Ad…"
60,Business/Data Analyst (Entry Level),Agama Solutions,$30 an hour,Role: Business/Data Analyst (Entry Level). 1+ Years of IT Experience Strong analytical background and critical thinking.
61,newFinancial Data Analyst (7am CST Shift),Orion Advisor Solutions,Full-time,(Got to scrub data to clean it up!). Do you have microscopic attention to detail that will ensure timely and accurate reconciliation of data?
62,Data Analyst I,"Payspan, Inc",Full-time,"The Data Analyst I, is an entry level position. Work experience as a data analyst or in related field. High-level written and verbal communication skills."
63,Talent Development Data Analyst,Southern New Hampshire University,Full-time,Lead the descriptive analytics for all Talent Development program data and select other project data; provide diagnostic analyses as needed.
64,Jr. Business Analyst,Kajeet,Full-time,They need to be able to pull relevant data from many disparate sources and create a combined data set that will assist in decision making.
65,Business Analyst - Ad Sales Technology,NBCUniversal,,"Self-motivated and accountable, with a high level of commitment to responsibility. The Business Analyst - Ad Sales Technology is responsible for ensuring our Ad…"
66,Data Analyst,Roles at YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
67,"newData Solutions Analyst, US Analytics",Liberty Mutual Insurance,"$70,000 - $100,000 a year","Ensures data solutions include deliverables required to achieve high quality data. Designs, develops, and automates data solutions that enables effective self…"
